State,District,Soil Type
Andhra Pradesh,,
Andhra Pradesh,Anantapur,Alluvial
Andhra Pradesh,Chittoor,Alluvial
Andhra Pradesh,East Godavari,Alluvial
Andhra Pradesh,Guntur,Loamy
Andhra Pradesh,Krishna,Loamy
Andhra Pradesh,Kurnool,Loamy
Andhra Pradesh,Nellore,Alluvial
Andhra Pradesh,Prakasam,Alluvial
Andhra Pradesh,Srikakulam,Loamy
Andhra Pradesh,Visakhapatnam,Loamy
Andhra Pradesh,Vizianagaram,Loamy
Andhra Pradesh,West Godavari,Alluvial
Andhra Pradesh,YSR Kadapa,Loamy
Telangana,,
Telangana,Adilabad,Clayey
Telangana,Bhadradri Kotha,Loamy
Telangana,Hyderabad,Loamy
Telangana,Jagtial,Clayey
Telangana,Jangaon,Loamy
Telangana,Jayashankar Bh,Loamy
Telangana,Jogulamba Gad,Clayey
Telangana,Kamareddy,Loamy
Telangana,Karimnagar,Loamy
Telangana,Khammam,Clayey
Telangana,Mahabubnagar,Clayey
Telangana,Medak,Clayey
Telangana,Medchal–Malkaj,Loamy
Telangana,Nagarkurnool,Clayey
Telangana,Nalgonda,Clayey
Telangana,Nirmal,Loamy
Telangana,Nizamabad,Loamy
Telangana,Peddapalli,Loamy
Telangana,Rajanna Sircilla,Loamy
Telangana,Rangareddy,Clayey
Telangana,Sangareddy,Clayey
Telangana,Siddipet,Clayey
Telangana,Suryapet,Clayey
Telangana,Vikarabad,Loamy
Telangana,Warangal (Rural,Loamy
Telangana,Warangal (Urba,Loamy
Telangana,Yadadri Bhuvan,Clayey
Maharashtra,,
Maharashtra,Ahmednagar,Clayey
Maharashtra,Akola,Gravel
Maharashtra,Amravati,Clayey
Maharashtra,Aurangabad,Clayey
Maharashtra,Beed,Gravel
Maharashtra,Bhandara,Gravel
Maharashtra,Buldhana,Gravel
Maharashtra,Chandrapur,Loamy
Maharashtra,Dhule,Loamy
Maharashtra,Gadchiroli,Clayey
Maharashtra,Gondia,Gravel
Maharashtra,Hingoli,Clayey
Maharashtra,Jalgaon,Loamy
Maharashtra,Jalna,Gravel
Maharashtra,Kolhapur,Gravel
Maharashtra,Latur,Clayey
Maharashtra,Mumbai City,Gravel
Maharashtra,Mumbai Suburb,Clayey
Maharashtra,Nagpur,Clayey
Maharashtra,Nanded,Loamy
Maharashtra,Nandurbar,Loamy
Maharashtra,Nashik,Clayey
Maharashtra,Osmanabad,Gravel
Maharashtra,Palghar,Clayey
Maharashtra,Parbhani,Clayey
Maharashtra,Pune,Clayey
Maharashtra,Raigad,Loamy
Maharashtra,Ratnagiri,Loamy
Maharashtra,Sangli,Gravel
Maharashtra,Satara,Clayey
Maharashtra,Sindhudurg,Clayey
Maharashtra,Solapur,Loamy
Maharashtra,Thane,Loamy
Maharashtra,Wardha,Clayey
Maharashtra,Washim,Clayey
Maharashtra,Yavatmal,Gravel
Kerala,,
Kerala,Alappuzha,Gravel
Kerala,Ernakulam,Clayey
Kerala,Idukki,Clayey
Kerala,Kannur,Alluvial
Kerala,Kasaragod,Gravel
Kerala,Kollam,Alluvial
Kerala,Kottayam,Clayey
Kerala,Kozhikode,Clayey
Kerala,Malappuram,Gravel
Kerala,Palakkad,Clayey
Kerala,Pathanamthitta,Clayey
Kerala,Thiruvananthapu,Clayey
Kerala,Thrissur,Clayey
Kerala,Wayanad,Gravel
Tamil Nadu,Erode,Loamy
Tamil Nadu,Kallakurichi,Loamy
Tamil Nadu,Kanchipuram,Loamy
Tamil Nadu,Kanyakumari,Loamy
Tamil Nadu,Karur,Loamy
Tamil Nadu,Krishnagiri,Loamy
Tamil Nadu,Madurai,Clayey
Tamil Nadu,Nagapattinam,Alluvial
Tamil Nadu,Namakkal,Loamy
Tamil Nadu,Nilgiris,Loamy
Tamil Nadu,Perambalur,Clayey
Tamil Nadu,Pudukkottai,Loamy
Tamil Nadu,Ramanathapura,Clayey
Tamil Nadu,Ranipet,Loamy
Tamil Nadu,Salem,Clayey
Tamil Nadu,Sivaganga,Loamy
Tamil Nadu,Tenkasi,Loamy
Tamil Nadu,Thanjavur,Alluvial
Tamil Nadu,Theni,Loamy
Tamil Nadu,Thoothukudi,Clayey
Tamil Nadu,Tiruchirappalli,Loamy
Tamil Nadu,Tirunelveli,Loamy
Tamil Nadu,Tirupattur,Loamy
Tamil Nadu,Tiruppur,Loamy
Tamil Nadu,Tiruvallur,Loamy
Tamil Nadu,Tiruvannamalai,Loamy
Tamil Nadu,Tiruvarur,Alluvial
Tamil Nadu,Vellore,Loamy
Tamil Nadu,Viluppuram,Loamy
Tamil Nadu,Virudhunagar,Clayey
Karnataka,,
Karnataka,Bagalkot,Clayey
Karnataka,Ballari,Clayey
Karnataka,Belagavi,Clayey
Karnataka,Bengaluru Rural,Loamy
Karnataka,Bengaluru Urba,Loamy
Karnataka,Bidar,Clayey
Karnataka,Chamarajanaga,Loamy
Karnataka,Chikkaballapur,Loamy
Karnataka,Chikkamagaluru,Loamy
Karnataka,Chitradurga,Loamy
Karnataka,Dakshina Kanna,Gravel
Karnataka,Davanagere,Clayey
Karnataka,Dharwad,Clayey
Karnataka,Gadag,Clayey
Karnataka,Hassan,Loamy
Karnataka,Haveri,Clayey
Karnataka,Kalaburagi,Clayey
Karnataka,Kodagu,Loamy
Karnataka,Kolar,Loamy
Karnataka,Koppal,Clayey
Karnataka,Mandya,Loamy
Karnataka,Mysuru,Loamy
Karnataka,Raichur,Clayey
Karnataka,Ramanagara,Loamy
Karnataka,Shivamogga,Loamy
Karnataka,Tumakuru,Loamy
Karnataka,Udupi,Gravel
Karnataka,Uttara Kannada,Loamy
Karnataka,Vijayapura,Clayey
Karnataka,Yadgir,Clayey
Goa,,
Goa,North Goa,Gravel
Goa,South Goa,Gravel
Odisha,,
Odisha,Angul,Loamy
Odisha,Balangir,Loamy
Odisha,Balasore,Alluvial
Odisha,Bargarh,Loamy
Odisha,Bhadrak,Alluvial
Odisha,Boudh,Loamy
Odisha,Cuttack,Alluvial
Odisha,Debagarh,Loamy
Odisha,Dhenkanal,Loamy
Odisha,Gajapati,Loamy
Odisha,Ganjam,Loamy
Odisha,Jagatsinghpur,Alluvial
Odisha,Jajpur,Alluvial
Odisha,Jharsuguda,Loamy
Odisha,Kalahandi,Loamy
Odisha,Kandhamal,Loamy
Odisha,Kendrapara,Alluvial
Odisha,Kendujhar,Loamy
Odisha,Khordha,Alluvial
Odisha,Koraput,Loamy
Odisha,Malkangiri,Loamy
Odisha,Mayurbhanj,Loamy
Odisha,Nabarangpur,Loamy
Odisha,Nayagarh,Loamy
Odisha,Nuapada,Loamy
Odisha,Puri,Alluvial
Odisha,Rayagada,Loamy
Odisha,Sambalpur,Loamy
Odisha,Subarnapur,Loamy
Odisha,Sundargarh,Loamy
Chhattisgarh,,
Chhattisgarh,Balod,Clayey
Chhattisgarh,Baloda Bazar,Loamy
Chhattisgarh,Balrampur,Loamy
Chhattisgarh,Bastar,Loamy
Chhattisgarh,Bemetara,Clayey
Chhattisgarh,Bijapur,Loamy
Chhattisgarh,Bilaspur,Clayey
Chhattisgarh,Dantewada,Loamy
Chhattisgarh,Dhamtari,Loamy
Chhattisgarh,Durg,Clayey
Chhattisgarh,Gariaband,Loamy
Chhattisgarh,Janjgir-Champa,Clayey
Chhattisgarh,Jashpur,Loamy
Chhattisgarh,Kabirdham,Clayey
Chhattisgarh,Kanker,Loamy
Chhattisgarh,Kondagaon,Loamy
Chhattisgarh,Korba,Loamy
Chhattisgarh,Koriya,Loamy
Chhattisgarh,Mahasamund,Loamy
